model,target,rmse,mae
proxy2_transition,all_targets,0.545301291209007,0.12497484035228686
proxy2_transition,lv_pu_inst,0.016452163093380254,0.013216177983064781
proxy2_transition,vdc_pu_inst,0.006726168347701517,0.004589889956742695
proxy2_transition,obs_01,0.003803020872137378,0.0030595713730043276
proxy2_transition,obs_04,0.006726168347700964,0.004589889956742063
persistence,all_targets,0.8397171318630662,0.18463716327894625
persistence,lv_pu_inst,0.06293314379644714,0.029440225198086256
persistence,vdc_pu_inst,0.0077488477363371324,0.0049893551248959825
persistence,obs_01,0.0328872659057684,0.012670245280806873
persistence,obs_04,0.0077488477363367335,0.004989355124895363
oracle_window_mean,all_targets,0.5637637788860264,0.14733504739505393
oracle_window_mean,lv_pu_inst,0.04222232208300498,0.02365885877517366
oracle_window_mean,vdc_pu_inst,0.010120391433382744,0.0051519932616176265
oracle_window_mean,obs_01,0.08749932192064232,0.02908692525030836
oracle_window_mean,obs_04,0.010120391433382349,0.005151993261617037
