trace_source,case_name,t,window_zone,x__t,x__dt,x__fault_pu,x__grid_pu,x__fault_a_pu,x__fault_b_pu,x__fault_c_pu,x__obs_01,x__obs_02,x__obs_03,x__obs_04,x__obs_05,x__obs_06,x__obs_07,x__obs_08,x__obs_09,x__obs_10,x__obs_11,x__obs_12,x__obs_13,x__obs_14,x__obs_15,x__obs_16,x__obs_17,x__obs_18,x__obs_19,x__obs_20,x__obs_21,x__obs_22,x__obs_23,x__obs_24,x__lv_pu_inst,x__vdc_pu_inst,x__action_01,x__action_02,x__action_03,x__action_04,x__win_fault,x__win_prefault,x__win_recovery,x__win_tail,x__src_rule_action,next_lv_pu_inst,next_vdc_pu_inst,next_obs_01,next_obs_02,next_obs_03,next_obs_04,next_obs_05,next_obs_06,next_obs_07,next_obs_08,next_obs_09,next_obs_10,next_obs_11,next_obs_12,next_obs_13,next_obs_14,next_obs_15,next_obs_16,next_obs_17,next_obs_18,next_obs_19,next_obs_20,next_obs_21,next_obs_22,next_obs_23,next_obs_24
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.0,prefault,0.0,0.002,0.825,0.825,0.825,1,1,0.0077087860140886,1.0,1.0,0.999999999999999,9.992007221626409e-16,0.992291213985911,-3.74154734478252e-09,-9.16296000993556e-07,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0.0,0,1.0,1.0,0.0,-9.992007221626409e-13,0.007708786014088695,0.9999999999999987,0.0079154846514053,-0.0011597856411278,0.0,-1.23275407248871e-06,False,True,False,False,True,0.6212535381137585,1.0096318015701211,0.139886214931038,2.17477433351754,2.17477433351754,1.00963180157012,-0.0096318015701208,0.860113785068962,-0.0695653261463655,-0.206406102188037,0.426027359239675,0.10988012905178,-1.03763523955758e-05,0.0007740808612883,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0005887066660825
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.002,prefault,0.002,0.002,0.825,0.825,0.825,1,1,0.139886214931038,2.17477433351754,2.17477433351754,1.00963180157012,-0.0096318015701208,0.860113785068962,-0.0695653261463655,-0.206406102188037,0.426027359239675,0.10988012905178,-1.03763523955758e-05,0.0007740808612883,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0005887066660825,0.6212535381137585,1.0096318015701211,0.428231063690872,0.109772061844295,-1.12011811873135e-05,0.0008113803861369,False,True,False,False,True,0.8267944726093817,1.0389407075680313,0.340383305902464,2.10178446262275,2.10178446262275,1.03894070756803,-0.0389407075680317,0.659616694097536,-0.165513491759587,-0.402958664536476,0.534186496039319,0.155404093480189,-0.0001258654137297,0.0067496394948147,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0747110150762786
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.004,prefault,0.004,0.002,0.825,0.825,0.825,1,1,0.340383305902464,2.10178446262275,2.10178446262275,1.03894070756803,-0.0389407075680317,0.659616694097536,-0.165513491759587,-0.402958664536476,0.534186496039319,0.155404093480189,-0.0001258654137297,0.0067496394948147,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0747110150762786,0.8267944726093817,1.0389407075680313,0.534808364889389,0.155338268809593,-0.0001280812789701,0.0068202231524517,False,True,False,False,True,0.9452253690677488,1.059288105759225,0.522359006037503,2.53407231180997,0.665791257009901,1.05928810575922,-0.0592881057592247,0.477640993962497,-0.26371174272503,-0.499485626353866,0.550589651734874,0.204021243431679,-0.0003594332554917,0.0128001296386262,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.848597174534005
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.006,prefault,0.006,0.002,0.825,0.825,0.825,1,1,0.522359006037503,2.53407231180997,0.665791257009901,1.05928810575922,-0.0592881057592247,0.477640993962497,-0.26371174272503,-0.499485626353866,0.550589651734874,0.204021243431679,-0.0003594332554917,0.0128001296386262,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.848597174534005,0.9452253690677488,1.059288105759225,0.55055063200554,0.204568716466697,-0.0003605696226611,0.0128476939029775,False,True,False,False,True,1.0144411225105652,1.0593103439513074,0.677175562525172,2.29429273019383,0.148274877758293,1.05931034395131,-0.0593103439513081,0.322824437474828,-0.305396408708783,-0.510906699089707,0.548960702315566,0.227539999802828,-0.0004382384027096,0.0158466036411714,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.656347196524853
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.008,prefault,0.008,0.002,0.825,0.825,0.825,1,1,0.677175562525172,2.29429273019383,0.148274877758293,1.05931034395131,-0.0593103439513081,0.322824437474828,-0.305396408708783,-0.510906699089707,0.548960702315566,0.227539999802828,-0.0004382384027096,0.0158466036411714,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.656347196524853,1.0144411225105652,1.0593103439513074,0.548936598326093,0.227789050557421,-0.0004383262584019,0.0158576814722125,False,True,False,False,True,1.0539409863185363,1.0601260153628949,0.79780137343249,1.93802635622987,0.0500275563861951,1.06012601536289,-0.0601260153628946,0.20219862656751,-0.25556226246789,-0.450295320145994,0.547848643846073,0.239365176737368,-0.0004660306919803,0.0152156421746108,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.876885235662206
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.01,prefault,0.01,0.002,0.825,0.825,0.825,1,1,0.79780137343249,1.93802635622987,0.0500275563861951,1.06012601536289,-0.0601260153628946,0.20219862656751,-0.25556226246789,-0.450295320145994,0.547848643846073,0.239365176737368,-0.0004660306919803,0.0152156421746108,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.876885235662206,1.0539409863185363,1.0601260153628949,0.54783936730286,0.239456558466167,-0.0004658295509568,0.0151954080829285,False,True,False,False,True,1.0867413861013961,1.0570724282516637,0.886794726749874,1.53711304920286,0.0758366099977634,1.05707242825166,-0.0570724282516637,0.113205273250126,-0.147406549340672,-0.395518498195734,0.54546605404653,0.248441572030977,-0.000455763998353,0.0129199657019666,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.21353793262846
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.012,prefault,0.012,0.002,0.825,0.825,0.825,1,1,0.886794726749874,1.53711304920286,0.0758366099977634,1.05707242825166,-0.0570724282516637,0.113205273250126,-0.147406549340672,-0.395518498195734,0.54546605404653,0.248441572030977,-0.000455763998353,0.0129199657019666,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.21353793262846,1.0867413861013961,1.0570724282516637,0.545342848407964,0.248718188424318,-0.0004553943878668,0.0128986689255155,False,True,False,False,True,1.0897216706147101,1.05505508713935,0.953054700873461,1.43376150081935,0.12918404708754,1.05505508713935,-0.0550550871393505,0.0469452991265393,-0.0011317320587292,-0.355084875099449,0.412300464625594,0.259624926604931,-0.0004400464490524,0.0111455566479383,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0006185227021671
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.014,prefault,0.014,0.002,0.825,0.825,0.825,1,1,0.953054700873461,1.43376150081935,0.12918404708754,1.05505508713935,-0.0550550871393505,0.0469452991265393,-0.0011317320587292,-0.355084875099449,0.412300464625594,0.259624926604931,-0.0004400464490524,0.0111455566479383,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0006185227021671,1.0897216706147101,1.05505508713935,0.410138433650888,0.259763260916865,-0.000439684671779,0.0111253720420163,False,True,False,False,True,1.0363667324722319,1.0572951604858025,0.992599326551738,1.34280229705329,0.0356243272836632,1.0572951604858,-0.0572951604858023,0.0074006734482619,0.163132540108701,-0.324828962884681,0.188206973025803,0.246502671362047,-0.0004193104883959,0.009453017852538,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0006090083866094
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.016,prefault,0.016,0.0019999999999999983,0.825,0.825,0.825,1,1,0.992599326551738,1.34280229705329,0.0356243272836632,1.0572951604858,-0.0572951604858023,0.0074006734482619,0.163132540108701,-0.324828962884681,0.188206973025803,0.246502671362047,-0.0004193104883959,0.009453017852538,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-0.0006090083866094,1.0363667324722319,1.0572951604858025,0.186227592909545,0.246815969077219,-0.0004194491979325,0.0094410935173361,False,True,False,False,True,0.9759028516387632,1.0616846541701388,0.996158229605782,1.1364283237719,0.0282586574466265,1.06168465417014,-0.061684654170139,0.0038417703942182,0.313605090135805,-0.304198151110542,0.0603998202052894,0.227824133678555,-0.0004467941003857,0.0086800711536182,0,1,0,1,0,0,0.0,0,1.0,1.0,-2.58827290799846,-0.452574212466361
trajectory_trace_topology2_dqseed_t2_single_phase_lvrt_a_pu0825_d060ms_20260804_152620.csv,lvrt_060ms_0.825pu,0.018,prefault,0.018,0.0020000000000000018,0.825,0.825,0.825,1,1,0.996158229605782,1.1364283237719,0.0282586574466265,1.06168465417014,-0.061684654170139,0.0038417703942182,0.313605090135805,-0.304198151110542,0.0603998202052894,0.227824133678555,-0.0004467941003857,0.0086800711536182,0,1,0,1,0,0,0.0,0,1.0,1.0,-2.58827290799846,-0.452574212466361,0.9759028516387632,1.0616846541701388,0.0598783525551315,0.228386478562841,-0.0004470053111309,0.0086710510785514,False,True,False,False,True,0.9159293092032222,1.0620151774369,0.977200316399956,1.11529719274013,0.0574663143032454,1.0620151774369,-0.0620151774369,0.0227996836000443,0.432522188970389,-0.282140882108017,0.0728991404254096,0.216455908453804,-0.0004613257447229,0.0083354599606471,0,1,0,1,0,0,0.0,0,1.0,1.0,-5.0,-1.12825575298814
